"Auteur";"Identifiant auteur";"Titre";"Directeur de these";"Directeur de these (nom prenom)";"Identifiant directeur";"Etablissement de soutenance";"Identifiant etablissement";"Discipline";"Statut";"Date de premiere inscription en doctorat";"Date de soutenance";"Langue de la these";"Identifiant de la these";"Accessible en ligne";"Publication dans theses.fr";"Mise a jour dans theses.fr";
Anthony Le Bris;202775232;Télédétection spatiale et aéroportée de la colonisation du littoral par les huîtres sauvages;Marc Robin,Laurent Barillé;Robin Marc,Barillé Laurent;142875902,147346258;Nantes;026403447;Géographie et biologie marine;soutenue;;28-11-2016;fr;2016NANT3024;oui;11-04-2013;04-07-2017;
Samuel Balti;166727261;La territorialisation des musiques amplifiées à Toulouse : lecture renouvelée des dynamiques urbaines;Jean-Pierre Wolff,Mariette Sibertin-Blanc;Wolff Jean-Pierre,Sibertin-Blanc Mariette;075952343,060980540;Toulouse 2;026403994;Géographie et aménagement;soutenue;;24-09-2012;fr;2012TOU20079;oui;26-09-2011;12-07-2017;
Andrea Claudia Catenazzi;189666463;Redes técnicas metropolitanas y acción pública local. La territorialización de la gestión del agua en el área metropolitana de Buenos Aires durante la concesión de Aguas Argentinas. 1993 – 2006;Graciela Schneier-Madanes;Schneier-Madanes Graciela;028812301;Sorbonne Paris Cité;19077990X;Géographie, aménagement, urbanisme;soutenue;;19-01-2015;es;2015USPCA030;non;26-09-2011;24-03-2017;
David Carrignon;189819715;Gouvernance et démarches de conception des réseaux routiers urbains : les exemples de Paris et Londres;Jacques Chevalier,Arnaud Gasnier;Chevalier Jacques,Gasnier Arnaud;033837651,130413445;Le Mans;026404435;Géographie sociale et régionale;soutenue;;09-10-2015;fr;2015LEMA3006;oui;26-09-2011;11-07-2017;
Antoine Pancher;183896238;Construction de la sensibilité socio-spatiale : l'exemple de la vallée de la Sarthe;Jeannine Corbonnois;Corbonnois Jeannine;061649945;Le Mans;026404435;Géographie et Sociologie;soutenue;;12-12-2014;fr;2014LEMA3010;oui;26-09-2011;11-07-2017;
Jules Raymond Ngambi;186063156;Déchets solides ménagers de la ville de Yaoundé (Cameroun) : de la gestion linéaire vers une économie circulaire;Yamna Djellouli,Mathieu Durand;Djellouli Yamna,Durand Mathieu;117235083,16528935X;Le Mans;026404435;Géographie sociale et régionale;soutenue;;17-03-2015;fr;2015LEMA3001;oui;07-02-2013;11-07-2017;
Joyce Valdovinos;139922962;Transnational corporations in Water Governance. Veolia and Suez in Mexico and the United States (1993-2014);Graciela Schneier-Madanes;Schneier-Madanes Graciela;028812301;Sorbonne Paris Cité;19077990X;Géographie, Aménagement et Urbanisme;soutenue;;21-01-2015;en;2015USPCA027;oui;23-02-2017;02-03-2017;
Clara Osadtchy;189807989;Conflits environnementaux en territoire industriel : réappropriation territoriale et émergence d'une justice environnementale : le cas de l'étang de Berre et de Fos-sur-Mer;Jacques Chevalier,Cyria Emelianoff;Chevalier Jacques,Emelianoff Cyria;033837651,068881193;Le Mans;026404435;Géographie sociale et régionale;soutenue;;06-07-2015;fr;2015LEMA3005;oui;26-09-2011;11-07-2017;
Samira Mellas;169586367;Evaluation du risque tsunamique sur le littoral atlantique marocain;Frédéric Léone,Bendahhou Zourarah;Léone Frédéric,Zourarah Bendahhou;035065753,169548201;Montpellier 3;026404702;Géographie - Aménagement. Géosciences marines;soutenue;;03-12-2012;fr;2012MON30067;oui;28-05-2013;25-10-2017;
Elsa-Xuân Lainé;158268911;Le rôle des villes frontalières de la vallée du Mékong dans la stratégie thaïlandaise de commandement de la région du Grand Mékong;Manuelle Franck;Franck Manuelle;033635293;Paris, INALCO;026388715;Géographie humaine et économique;soutenue;;06-12-2013;fr;2013INAL0025;oui;10-10-2012;20-09-2016;
Serge Schwartzmann;178729531;Gentrification et conflits d'un quartier dans la mobilisation. Le cas de Palermo Viejo, Buenos Aires.;Marie-France Prévôt Schapira;Prévôt Schapira Marie-France;028289781;Paris 3;027361837;Géographie, Aménagement et Urbanisme;soutenue;;05-12-2013;fr;2013PA030171;non;26-09-2011;16-03-2017;
Terence Keller Araujo Vieira de Andrade;181820447;La mise en tourisme dans la Haute Amazonie brésilienne. Une approche géographique;Martine Droulers;Droulers Martine;030163765;Paris 3;027361837;Géographie, Aménagement, Urbanisme;soutenue;;26-11-2012;fr;2012PA030169;non;26-09-2011;09-03-2017;
Anne Bouhali;219487634;Fabriquer des centralités marchandes dans le monde arabe : étude comparée de deux quartiers-marchés du commerce transnational au Caire et à Oran;Olivier Pliez;Pliez Olivier;069693579;Toulouse 2;026403994;Géographie et aménagement;soutenue;;09-12-2016;fr;2016TOU20108;oui;28-11-2016;25-10-2017;
Bertrand de Foucauld;176525386;Développement durable et gouvernances du logement social;Michel Carmona;Carmona Michel;026767570;Paris 4;026403633;Géographie, aménagement du territoire;soutenue;;10-10-2013;fr;2013PA040172;non;27-02-2014;06-12-2017;
Kildine Leichnig;191728330;La patrimonialisation des espaces fluviaux urbains et l'expérience des usagers, visiteurs et habitants. Une approche comparée Pau (France) et Saragosse (Espagne);Vincent Vlès,Sylvie Clarimont,Vitelio Tena Piazuelo;Vlès Vincent,Clarimont Sylvie,Tena Piazuelo Vitelio;028278046,077367847,191823074;Pau;026403668;Géographie spécialité aménagement;soutenue;;04-12-2015;fr;2015PAUU1007;oui;23-02-2012;09-03-2016;
Ana Magdalena Baidan;221466053;Bucarest face aux enjeux urbains contemporains : les dynamiques du développement et de l’aménagement dans une capitale de la "nouvelle Europe";Didier Paris,Guillaume Schmitt;Paris Didier,Schmitt Guillaume;029844762,142898414;Lille 1;026404184;Géographie - Aménagement urbain;soutenue;;24-11-2016;fr;2016LIL10228;non;05-12-2013;14-12-2017;
Thi Huong Hué Nguyen;174212992;Habiter le patrimoine : la maison-jardin à Hue;Denis Retaillé,Ghislaine Marie Mellac;Retaillé Denis,Mellac Ghislaine Marie;031398103,069683557;Bordeaux 3;027548392;Géographie humaine et régionale;soutenue;;23-05-2013;fr;2013BOR30004;oui;26-09-2011;09-01-2018;
Boua André Aoua;167880799;Enjeux et perspectives socio-économiques des politiques culturelles en Afrique francophone subsaharienne : regard sur un developpement : cas de la Côte d'Ivoire;Emmanuel Eveno;Eveno Emmanuel;057456402;Toulouse 2;026403994;Géographie et aménagement;soutenue;;07-09-2012;fr;2012TOU20049;non;26-09-2011;07-03-2013;
Elcy Corrales Roa;168946351;Caractérisation des espaces et pratiques de conservation dans les systèmes de production familiale en Colombie : quelles contributions pour la conservation des paysages?;Jean-Paul Métailié;Métailié Jean-Paul;027025462;Toulouse 2;026403994;Géographie et aménagement;soutenue;;28-09-2012;fr;2012TOU20120;oui;26-09-2011;19-02-2016;
Nguyen da Huong Dao;182354466;Dalat, une ville comme système de parcs;Daniel Weissberg;Weissberg Daniel;05764232X;Toulouse 2;026403994;Géographie et Aménagement;soutenue;;29-01-2014;fr;2014TOU20003;non;26-09-2011;06-05-2017;
Chahrazed Gherzouli;179780654;Anthropisation et dynamique des zones humides dans le nord-est-algérien : apport des études palynologiques pour une gestion conservatoire;Jean-Paul Métailié,Didier Galop;Métailié Jean-Paul,Galop Didier;027025462,035586850;Toulouse 2;026403994;Géographie et aménagement;soutenue;;17-12-2013;fr;2013TOU20128;oui;26-09-2011;19-02-2016;
Laurie Ferdinand;190372265;La plaine alluviale de la Moyenne Garonne toulousaine au cours de l’holocène : apport d’une approche croisée archéologie et géomorphologie;Jean-Michel Carozza;Carozza Jean-Michel;16394749X;Toulouse 2;026403994;Géographie et aménagement;soutenue;;26-09-2014;fr;2014TOU20069;oui;26-09-2011;19-02-2016;
Lucie Lazaro;19419096X;Estives en partage : une approche relationnelle des externalités du pastoralisme collectif pyrénéen;Bernard Charlery de La Masselière,Corinne Eychenne;Charlery de La Masselière Bernard,Eychenne Corinne;035555920,073914347;Toulouse 2;026403994;Géographie et aménagement;soutenue;;16-10-2015;fr;2015TOU20054;oui;26-09-2011;08-07-2016;
Erasme Ngiye;194638022;La filière palmier à huile au Burundi : acteurs et territoires;Laurien Uwizeyimana;Uwizeyimana Laurien;029792398;Toulouse 2;026403994;Géographie et aménagement;soutenue;;18-12-2015;fr;2015TOU20140;oui;26-09-2011;29-03-2017;
Thiet Nguyen Van;191866903;Aménagements hydroélectriques et conséquences environnementales dans le nord du Vietnam;Dominique Laffly,Van Cu Pham;Laffly Dominique,Pham Van Cu;133764230,118892754;Toulouse 2;026403994;Géographie et aménagement;soutenue;;02-07-2015;fr;2015TOU20031;oui;26-09-2011;06-05-2017;
Daniella Painemal Granzotto;184587948;Habitat durable, culture et territoire Mapuche : adaptation aux exigences contemporaines et sauvegarde des identités culturelles;André De Herde,Pierre Fernandez;De Herde André,Fernandez Pierre;067212166,033597731;Toulouse 2;026403994;Géographie et aménagement;soutenue;;17-12-2014;fr;2014TOU20104;non;26-09-2011;21-05-2016;
Delphine Prunier;169007928;De nouvelles ruralités en Amérique centrale ? : dynamiques de mobilité, ressources et organisations familiales;Laurent Faret;Faret Laurent;073452262;Paris 7;027542084;Géographie des pays émergents;soutenue;;01-01-2013;fr;2013PA070004;non;26-09-2011;21-10-2017;
Marius Massala;172053102;Recherche intelligente d'informations géographiques à partir des toponymes, des métadonnées et d'une ontologie : application aux forêts du Bassin congolais;Martin Paegelow,Robert Laurini;Paegelow Martin,Laurini Robert;083201432,02904071X;Toulouse 2;026403994;Géographie et aménagement;soutenue;;25-01-2013;fr;2013TOU20003;oui;26-09-2011;19-02-2016;
Do Long Nguyen;168609576;L'écotourisme attaché à la communauté et au développement local dans la région du nord-ouest du Vietnam : études de cas aux villages de Phu Mau 1,2 à la commune de Chieng Yen, province de Son La;Daniel Weissberg;Weissberg Daniel;05764232X;Toulouse 2;026403994;Géographie et aménagement;soutenue;;28-09-2012;fr;2012TOU20096;non;26-09-2011;06-05-2017;
Fanny Rhoné;191737054;L'abeille à travers champs : quelles interactions entre Apis mellifera L et le paysage agricole (Gers 32) ? : le rôle des structures paysagères ligneuses dans l'apport de ressources trophiques et leurs répercussions sur les traits d'histoire de vie des colonies;Dominique Laffly;Laffly Dominique;133764230;Toulouse 2;026403994;Géographie et aménagement;soutenue;;25-06-2015;fr;2015TOU20022;oui;26-09-2011;03-03-2016;
Bénédicte Veyrac-Ben Ahmed (Veyrac);168060604;Les agriculteurs face aux sécheresses : adaptation des pratiques et impacts environnementaux : étude à travers l'exemple du bassin versant du Lemboulas (Bas-Quercy, Midi-Pyrénées);Jean-Paul Métailié,Alexandra Angéliaume;Métailié Jean-Paul,Angéliaume Alexandra;027025462,069161623;Toulouse 2;026403994;Géographie et aménagement;soutenue;;19-09-2012;fr;2012TOU20101;oui;26-09-2011;19-02-2016;
Constanza Ulriksen Moretti (Ulriksen);194518558;L’action publique en faveur des quartiers défavorisés au Chili (2006-2010) : généalogie et développement des nouvelles approches territoriale et participative;Marie-Christine Jaillet,Francisco Sabatini;Jaillet Marie-Christine,Sabatini Francisco;066931053,194518906;Toulouse 2;026403994;Géographie et aménagement;soutenue;;05-12-2015;fr;2015TOU20123;oui;26-09-2011;28-08-2017;
Pauline Crombette;200042106;Contribution des technologies satellitaires Pléiades à l'étude des trames vertes urbaines : entre maintien des connectivités écologiques potentielles et densification des espaces urbains;Denis Eckert,Claire Tinel;Eckert Denis,Tinel Claire;057023298,076990281;Toulouse 2;026403994;Géographie et Aménagement;soutenue;;13-05-2016;fr;2016TOU20032;oui;26-01-2012;12-04-2017;
Pierre-Alexis Herrault;191491594;Extraction de fragments forestiers et caractérisation de leurs évolutions spatio-temporelles pour évaluer l'effet de l'histoire sur la biodiversité : une approche multi-sources;Martin Paegelow,David Sheeren;Paegelow Martin,Sheeren David;083201432,14952952X;Toulouse 2;026403994;Géographie et aménagement;soutenue;;19-06-2015;fr;2015TOU20018;oui;26-01-2012;19-02-2016;
Minh Tung Tran;190857420;Fabrication du logement planifié sous forme de "KDTM" (Khu Đô Thị Mới) à Hanoï : la ville de quartiers ou/et la ville de projets ?;Daniel Weissberg,Françoise Blanc;Weissberg Daniel,Blanc Françoise;05764232X,155923749;Toulouse 2;026403994;Géographie et Aménagement;soutenue;;15-12-2014;fr;2014TOU20113;oui;01-02-2012;06-05-2017;
Destiny Tchehouali;172665205;Les politiques et actions internationales de solidarité numérique à l'épreuve de la diffusion des TIC en Afrique de l'Ouest : bilan et perspectives;Emmanuel Eveno,Olivier Sagna;Eveno Emmanuel,Sagna Olivier;057456402,03169196X;Toulouse 2;026403994;Géographie et Aménagement;soutenue;;18-05-2013;fr;2013TOU20020;oui;02-02-2012;17-03-2017;
Dominique Henry;165821701;"Entre-tenir la montagne" : paysage et ethnogéographie du travail des éleveurs en montagne pyrénéenne : hautes vallées du Gave de Pau, de Campan et d'Oueil-Larboust;Jean-Paul Métailié,Serge Briffaud;Métailié Jean-Paul,Briffaud Serge;027025462,050379429;Toulouse 2;026403994;Géographie et aménagement;soutenue;;27-09-2012;fr;2012TOU20094;oui;07-12-2012;19-02-2016;
Messan Lihoussou;179362518;Ports et desenclavement territorial : le cas du port de Cotonou;Benjamin Steck;Steck Benjamin;030925363;Le Havre;031308570;Géographie des transports;soutenue;;07-07-2014;fr;2014LEHA0002;oui;08-01-2013;26-11-2014;
Eleonora Guadagno;186180217;Comment le phénomène du déplacement environnemental est-il perçu par les pays industrialisés ? Observations empiriques en Italie à partir des glissements de terrain à Sarno et à Cerzeto;Véronique Lassailly-Jacob,François Gemenne;Lassailly-Jacob Véronique,Gemenne François;050121111,138526478;Poitiers;026403765;Géographie Politique et Sociale;soutenue;;20-06-2014;en;2014POIT5003;oui;29-01-2013;22-10-2015;
Mélodie David;194738485;Dynamique fluviale de la Garonne à l'anthropocène : trajectoire d'évolution du tronçon fluvial compris entre les confluences de l'Ariège et du Tarn (Garonne toulousaine, 90 km);Jean-Michel Carozza,Philippe Valette;Carozza Jean-Michel,Valette Philippe;16394749X,06980429X;Toulouse 2;026403994;Géographie et Aménagement;soutenue;;20-06-2016;fr;2016TOU20034;oui;22-02-2013;31-08-2016;
Renaud Marti;200625446;Apport des méthodes de télédétection à très haute-résolution spatiale dans l'étude des variations de la cryosphère des Pyrénées;Dominique Laffly,Simon Gascoin;Laffly Dominique,Gascoin Simon;133764230,146987942;Toulouse 2;026403994;Géographie et Aménagement;soutenue;;09-05-2016;fr;2016TOU20024;oui;22-02-2013;16-06-2017;
David Bédouret;168889633;Les espaces ruraux d’Afrique noire à travers la géographie scolaire : des représentations à l’espace symbolique;Bernard Charlery de La Masselière,Christine Vergnolle;Charlery de La Masselière Bernard,Vergnolle Christine;035555920,034239510;Toulouse 2;026403994;Géographie et aménagement;soutenue;;05-10-2012;fr;2012TOU20097;oui;24-04-2013;17-03-2017;
Florence Salit;175318387;De l'eau, des digues et des hommes : approche géographique du risque inondation sur le Siret inférieur (Roumanie);Gérard Beltrando,Liliana Zaharia;Beltrando Gérard,Zaharia Liliana;034261958,153645709;Paris 7;027542084;Géographie et environnement;soutenue;;01-01-2013;fr;2013PA070036;non;09-01-2014;21-10-2017;
Louis Salgueiro;19427814X;Les dynamiques territoriales d'adoption, de diffusion et d'usages des tiers-lieux de travail ruraux : une approche systémique des télécentres du Cantal;Gilles Puel,Valérie Fernandez;Puel Gilles,Fernandez Valérie;115446265,034512101;Toulouse 2;026403994;Géographie et Aménagement;soutenue;;06-11-2015;fr;2015TOU20038;non;02-03-2014;02-06-2017;
Laure Vacquié;191449148;Modélisation prospective et échelles spatiales en montagne : application aux Pyrénées françaises;Martin Paegelow,Thomas Houet;Paegelow Martin,Houet Thomas;083201432,104518642;Toulouse 2;026403994;Géographie et aménagement;soutenue;;03-06-2015;fr;2015TOU20014;oui;01-02-2015;19-02-2016;
Jeronimo Diaz;184877466;La gentrification négociée : anciennes frontières et nouveaux fronts dans le centre historique de Mexico;Marie-Christine Jaillet,Guy Thuillier;Jaillet Marie-Christine,Thuillier Guy;066931053,050428063;Toulouse 2;026403994;Géographie et aménagement;soutenue;;08-12-2014;fr;2014TOU20107;oui;06-04-2015;15-06-2015;
Madeleine Séne;192185888;L'implantation des missionnaires et leur implication dans la prise en charge de la santé maternelle et infantile dans les villages de Baback, Fandene, Keur-Moussa et Sanghe au Sénegal, de 2007 a 2011;Alphonse Yapi-Diahou,Pascal Sagna;Yapi-Diahou Alphonse,Sagna Pascal;055752306,19219044X;Paris 8;026403552;Géographie humaine régionale;soutenue;;01-01-2014;fr;2014PA084129;oui;26-03-2016;21-10-2017;
Françoise Bahoken;191734861;Contribution à la cartographie d’une matrice de flux;Claude Grasland,Christine Tobelem-Zanin;Grasland Claude,Tobelem-Zanin Christine;067285953,034618953;Sorbonne Paris Cité;19077990X;Géographie. Sciences des territoires;soutenue;;01-01-2016;fr;2016USPCC002;oui;26-05-2016;21-10-2017;
Christine Ithurbide;185946402;Géographie de l'art contemporain indien : villes, acteurs et territoires : le cas de Bombay (Inde);Laurent Faret;Faret Laurent;073452262;Sorbonne Paris Cité;19077990X;Géographie du développement;soutenue;;01-01-2015;fr;2015USPCC005;non;18-01-2017;21-10-2017;
Hawa Coulibaly;19128260X;Les territoires de la coopération décentralisée dans la région de Koulikoro au Mali : l'injonction de la mobilisation des associations de migrants;Laurent Faret;Faret Laurent;073452262;Sorbonne Paris Cité;19077990X;Géographie du développement;soutenue;;01-01-2015;fr;2015USPCC036;non;18-01-2017;21-10-2017;
Marcel Mendy;18847661X;Le rôle des nationaux dans la production des territoires touristiques sur le littoral et les îles de de l'Afrique de l'Ouest : les exemples de la Petite Côte sénégalaise et de l’île de Sal au Cap-Vert;Philippe Cadène;Cadène Philippe;070122369;Sorbonne Paris Cité;19077990X;Géographie du développement;soutenue;;01-01-2015;fr;2015USPCC009;non;18-01-2017;21-11-2017;
Aurélien Reys;19124130X;Ressources gemmifères et développement des territoires : la filière des pierres de couleur du Minas Gerais au Brésil;Laurent Faret;Faret Laurent;073452262;Sorbonne Paris Cité;19077990X;Géographie du développement;soutenue;;01-01-2015;fr;2015USPCC034;non;18-01-2017;20-10-2017;
Mathilde Canard;223546739;Appropriation et mise en oeuvre de la Trame verte et bleue aux échelles infrarégionales en Région Midi-Pyrénées (Sud-Ouest de la France);Jean-Marc Antoine,Sylvie Guillerme;Antoine Jean-Marc,Guillerme Sylvie;127455930,188864873;Toulouse 2;026403994;Géographie et Aménagement;soutenue;;07-12-2016;fr;2016TOU20119;oui;26-01-2012;18-01-2018;
Raluca-Monica Dragostin;169558959;La population de la Dacie Romaine : étude anthroponymique et prosopographique;François Bérard,Constantin C. Petolescu;Bérard François,Petolescu Constantin C.;028808819,110326849;Lyon 3;026404494;Geographie et histoire;soutenue;;08-10-2012;fr;2012LYO30071;non;10-10-2012;25-01-2018;
Aurelie Delage;181424274;La gare, assurance métropolitaine de la ville post-industrielle. : Le retournement de valeur dans les projets urbains de quartiers de gare, à Saint-Etienne Châteaucreux et Liège Guillemins (Belgique).;Franck Scherrer;Scherrer Franck;08806008X;Lyon 2;02640334X;Géographie, aménagement et urbanisme;soutenue;;21-03-2013;fr;2013LYO20016;non;26-09-2011;25-01-2018;
Helene Gibert;170553817;Requalification du vignoble du Beaujolais : une approche systémique;Claire Delfosse;Delfosse Claire;072237465;Lyon 2;02640334X;Géographie, aménagement et urbanisme;soutenue;;20-09-2012;fr;2012LYO20071;non;09-03-2015;25-01-2018;
Katarzyna Bogacz;174928114;Ici et là-bas : Représentations spatiales et pratiques touristiques en milieu scolaire (Lyon et Cracovie);Isabelle Lefort;Lefort Isabelle;03127921X;Lyon 2;02640334X;Géographie, aménagement et urbanisme;soutenue;;07-12-2012;fr;2012LYO20134;non;26-09-2011;25-01-2018;
Thomas Zanetti;174920172;Une ville et sa multinationale, une multinationale et sa ville : emprise spatiale, organisation sociale, fonction économique et régulation politique du « territoire Michelin » à Clermont-Ferrand (fin XIXe à nos jours);Vincent Veschambre;Veschambre Vincent;033661804;Lyon 2;02640334X;Géographie, aménagement et urbanisme;soutenue;;03-12-2012;fr;2012LYO20099;oui;26-09-2011;25-01-2018;
Adrien Alber;178369349;Etude multi-scalaire de la dynamique latérale des tronçons fluviaux- Application au bassin rhodanien;Hervé Piégay;Piégay Hervé;07033174X;Lyon 2;02640334X;Géographie, aménagement et urbanisme;soutenue;;18-12-2012;fr;2012LYO20102;non;26-09-2011;25-01-2018;
Jean Baptiste Delaugerre;180105094;Genève et Prague : quelles stratégies pour quelle métropolisation ? : Compétitivité et gouvernance de deux métropoles intermédiaires en construction;Lydia Coudroy de Lille,Bertrand Lévy;Coudroy de Lille Lydia,Lévy Bertrand;074789295,031203256;Lyon 2;02640334X;Géographie, aménagement et urbanisme;soutenue;;27-01-2014;fr;2014LYO20006;oui;26-09-2011;25-01-2018;
Chloé Voisin;178367648;Die Gestaltung von neuen öffentlichen Räumen im Stadtzentrum von Dresden und Chemnitz : Welche Räume für welche Gesellschaft?;Karl-Siebert Rehberg,Lydia Coudroy de Lille;Rehberg Karl-Siebert,Coudroy de Lille Lydia;178367826,074789295;Lyon 2;02640334X;Géographie, aménagement et urbanisme;soutenue;;10-12-2012;de;2012LYO20105;oui;26-09-2011;25-01-2018;
Gabriel Camara;178224529;Orașele interstițiale din România;Octavian Groza;Groza Octavian;069711682;Lyon 2;02640334X;Géographie, aménagement et urbanisme;soutenue;;21-12-2012;ro;2012LYO20108;non;23-11-2011;25-01-2018;
Quan Son Nguyen;180628739;Mobilités spatiales et ségrégation dans un contexte de métropolisation : Le cas de Hanoi;Didier Plat;Plat Didier;103664963;Lyon 2;02640334X;Géographie, aménagement et urbanisme;soutenue;;01-07-2014;fr;2014LYO20049;oui;04-02-2016;25-01-2018;
Martine Drozdz;182663809;Regeneration b(d)oom : territoires et politique de la régénération urbaine par projet à Londres;Christian Montès,Manuel Appert;Montès Christian,Appert Manuel;070470537,11771934X;Lyon 2;02640334X;Géographie, aménagement et urbanisme;soutenue;;06-11-2014;fr;2014LYO20088;non;22-02-2016;25-01-2018;
Sébastien Alcaix;191924040;Le rôle de l'agriculture dans l'aménagement d'une métropole transfrontalière : le cas du Grand Genève;Claire Delfosse,Lydia Coudroy de Lille;Delfosse Claire,Coudroy de Lille Lydia;072237465,074789295;Lyon 2;02640334X;Géographie, aménagement et urbanisme;soutenue;;26-05-2015;fr;2015LYO20027;oui;24-03-2015;25-01-2018;
Ousmane Ag dalla;193812487;Construction participative de l'information géographique pour le développement local au Sahel : Propositions méthodologiques dans une commune rurale du Nord du Mali;Thierry Joliveau,Patrick d' Aquino;Joliveau Thierry,Aquino Patrick d';070330972,085810568;Saint-Etienne;028209966;Géographie, aménagement et urbanisme;soutenue;;29-09-2015;fr;2015STET2205;oui;26-09-2011;25-01-2018;
Vanessa Moura de lacerda teixeira;197364055;L'urbanisation autour de la lagune Araruama, Etat de Rio de Janeiro, Brésil : dynamiques spatiales et enjeux environnementaux;Bernard Gauthiez,Thereza Christina Couto Carvalho;Gauthiez Bernard,Couto Carvalho Thereza Christina;158479823,197366627;Lyon;190915757;Géographie et Aménagement;soutenue;;21-03-2016;fr;2016LYSE3004;oui;11-02-2016;25-01-2018;
Maxime Boivin;194893375;Analyse par bilan ligneux de la dynamique des bois morts à multiples échelles spatiales et temporelles dans une rivière semi-alluviale de région froide;Hervé Piégay,Thomas Buffin-Bélanger;Piégay Hervé,Buffin-Bélanger Thomas;07033174X,181309378;Lyon;190915757;Géographie - Géomorphologie fluviale;soutenue;;09-06-2016;fr;2016LYSEN006;oui;06-03-2012;25-01-2018;
Adrian Alvarado;19690742X;La Russie en Arctique occidental : strategies d'Etat et interactions des acteurs;Pascal Marchand;Marchand Pascal;091294274;Lyon;190915757;Geographie, aménagement et urbanisme;soutenue;;17-10-2016;fr;2016LYSE2109;non;01-04-2015;25-01-2018;
Lama Asaad;197094678;La nature en ville et le cas spécifique des jardins urbains : approche géographique et historique de la ville de Lyon et de son agglomération;Philippe Fleury;Fleury Philippe;151355452;Lyon;190915757;Géographie, aménagement et urbanisme;soutenue;;15-11-2016;fr;2016LYSE2116;oui;22-01-2016;25-01-2018;
Prandvera Kroni;198112874;Les fictions du tourisme albanais : des images et des lieux toujours en chantier;Isabelle Lefort;Lefort Isabelle;03127921X;Lyon;190915757;Géographie, aménagement et urbanisme;soutenue;;02-12-2016;fr;2016LYSE2138;non;19-02-2016;25-01-2018;
Jean Legroux;199184658;L’accueil de la coupe du Monde 2014 et des JO 2016 et les impacts de la « révolution des transports » sur la justice socio-spatiale à Rio de Janeiro : tout changer pour que rien ne change ?;Didier Plat,Luiz Cesar de Queiroz Ribeiro;Plat Didier,Ribeiro Luiz Cesar de Queiroz;103664963,081283091;Lyon;190915757;Géographie, aménagement et urbanisme;soutenue;;30-05-2016;fr;2016LYSE2045;oui;19-02-2016;25-01-2018;
Audrey Vincent;199185271;L’agriculture biologique comme réponse à la pollution de l’eau : apports de la géographie pour comprendre les dynamiques en cours;Philippe Fleury;Fleury Philippe;151355452;Lyon;190915757;Géographie, aménagement et urbanisme;soutenue;;06-04-2016;fr;2016LYSE2050;oui;19-02-2016;25-01-2018;
Yannick Hascoet;197725287;Vers une modification de l'image de la cite d'habitat social ? : lisières métropolitaines et détours « récréa(r)tistes » (Marseille, Paris, Montréal);Isabelle Lefort,Eric Charmes;Lefort Isabelle,Charmes Eric;03127921X,07610558X;Lyon;190915757;Géographie, aménagement et urbanisme;soutenue;;12-12-2016;fr;2016LYSE2163;oui;12-02-2016;25-01-2018;
Juma Asborn Misiko;178222801;« Vers la mise en tourisme du patrimoine ethno-culturel de l’ouest kenyan. Tourisme international et domestique dans les régions du lac Victoria et de Bungoma ».;Jean Rieucau;Rieucau Jean;030256658;Lyon 2;02640334X;Géographie, aménagement et urbanisme;soutenue;;21-12-2012;fr;2012LYO20106;oui;20-02-2015;25-01-2018;
Marie-Hélène Chevrier;197204740;Pratiques et valeurs spatiales, pèlerines et touristiques : grands et petits lieux de pélérinage aujourd'hui;Isabelle Lefort;Lefort Isabelle;03127921X;Lyon;190915757;Géographie, aménagement et urbanisme;soutenue;;25-11-2016;fr;2016LYSE2127;oui;18-11-2014;25-01-2018;
Maël Crépy;197671470;Les Paysages du vent : géohistoire et géoarchéologie de la dépression de Kharga (désert Libyque, Egypte) du cinquième siècle avant notre ère à nos jours : 2 500 ans d'interactions entre dynamiques éoliennes et activités humaines dans un milieu hyperaride;Yann Callot;Callot Yann;026763036;Lyon;190915757;Géographie, aménagement et urbanisme;soutenue;;02-12-2016;fr;2016LYSE2141;non;18-12-2015;25-01-2018;
Ferréol Salomon;168563509;Géoarchéologie du delta du Tibre : Evolution géomorphologique holocène et contraintes hydrosédimentaires dans le système Ostie– Portus;Jean-Paul Bravard;Bravard Jean-Paul;026750503;Lyon 2;02640334X;Géographie, aménagement et urbanisme;soutenue;;24-06-2013;fr;2013LYO20040;non;18-05-2015;25-01-2018;
Aurore Chéry;169065820;L'image de Louis XV et Louis XVI entre tradition et création : statégies figuratives et inscription dans l'espace public, 1715-1793;Bernard Hours;Hours Bernard;028827546;Lyon 3;026404494;Geographie et histoire;soutenue;;30-11-2015;fr;2015LYO30050;non;20-10-2015;25-01-2018;
Renan Valois 1984-....;220181926;Modalités d'émergence d'innovations dans la fabrication des écoquartiers : Le cas de la « mobilité durable »;Jean-Michel Deleuil,Joëlle Forest;Deleuil Jean-Michel,Forest Joëlle;033835047,057630593;Lyon;190915757;Géographie – Aménagement – Urbanisme;soutenue;;13-07-2016;fr;2016LYSEI077;non;29-01-2018;30-01-2018;
Gwenn Pulliat;176050450;Vulnérabilité alimentaire et trajectoires de sécurisation des moyens d’existence à Hanoi : une lecture des pratiques quotidiennes dans une métropole émergente;Frédéric Landy;Landy Frédéric;033585873;Paris 10;026403587;Géographie humaine et régionale;soutenue;;05-12-2013;fr;2013PA100159;oui;26-09-2011;06-05-2017;
